Month,TotalC,Cost
1991 Jul,3526591,3.526591
1991 Aug,3180891,3.180891
1991 Sep,3252221,3.252221
1991 Oct,3611003,3.611003
1991 Nov,3565869,3.565869
1991 Dec,4306371,4.306371
1992 Jan,5088335,5.088335
1992 Feb,2814520,2.81452
1992 Mar,2985811,2.985811
1992 Apr,3204780,3.20478
1992 May,3127578,3.127578
1992 Jun,3270523,3.270523
1992 Jul,3737850.82,3.73785082
1992 Aug,3558776.0900000003,3.5587760900000003
1992 Sep,3777201.73,3.77720173
1992 Oct,3924490.42,3.92449042
1992 Nov,4386530.92,4.38653092
1992 Dec,5810549.17,5.81054917
1993 Jan,6192067.6899999995,6.192067689999999
1993 Feb,3450856.9899999998,3.4508569899999997
1993 Mar,3772306.86,3.77230686
1993 Apr,3734302.9,3.7343029
1993 May,3905398.92,3.90539892
1993 Jun,4049687.14,4.0496871400000005
1993 Jul,4315565.5200000005,4.315565520000001
1993 Aug,4562184.55,4.56218455
1993 Sep,4608662.03,4.6086620300000005
1993 Oct,4667851.29,4.66785129
1993 Nov,5093841.45,5.09384145
1993 Dec,7179962.2,7.1799622
1994 Jan,6731473.08,6.73147308
1994 Feb,3841277.58,3.84127758
1994 Mar,4394075.569999999,4.394075569999999
1994 Apr,4075340.73,4.07534073
1994 May,4540644.899999999,4.540644899999999
1994 Jun,4645615.08,4.64561508
1994 Jul,4752606.53,4.75260653
1994 Aug,5350604.67,5.35060467
1994 Sep,5204454.84,5.2044548399999995
1994 Oct,5301651.3,5.3016513
1994 Nov,5773742.16,5.77374216
1994 Dec,6204593.48,6.204593480000001
1995 Jan,6749483.819999999,6.749483819999999
1995 Feb,4216067.35,4.216067349999999
1995 Mar,4949349.46,4.94934946
1995 Apr,4823044.9,4.8230449
1995 May,5194754.1899999995,5.194754189999999
1995 Jun,5170787.11,5.17078711
1995 Jul,5256741.569999999,5.256741569999999
1995 Aug,5855277.29,5.85527729
1995 Sep,5490729.01,5.49072901
1995 Oct,6115293.23,6.115293230000001
1995 Nov,6088472.84,6.08847284
1995 Dec,7416597.92,7.41659792
1996 Jan,8329452.12,8.329452120000001
1996 Feb,5069795.85,5.069795849999999
1996 Mar,5262556.67,5.2625566699999995
1996 Apr,5597126.28,5.59712628
1996 May,6110296,6.110296
1996 Jun,5689160.84,5.6891608399999996
1996 Jul,6486849.33,6.48684933
1996 Aug,6300569.33,6.30056933
1996 Sep,6467475.74,6.46747574
1996 Oct,6828629.390000001,6.828629390000001
1996 Nov,6649078.26,6.64907826
1996 Dec,8606937.21,8.606937210000002
1997 Jan,8524471.01,8.52447101
1997 Feb,5277918.37,5.27791837
1997 Mar,5714303.449999999,5.714303449999999
1997 Apr,6214529.08,6.21452908
1997 May,6411929.1899999995,6.4119291899999995
1997 Jun,6667715.64,6.66771564
1997 Jul,7050831.0200000005,7.05083102
1997 Aug,6704918.61,6.70491861
1997 Sep,7250987.609999999,7.250987609999999
1997 Oct,7819733.18,7.81973318
1997 Nov,7398101.06,7.398101059999999
1997 Dec,10096233.39,10.09623339
1998 Jan,8798513.03,8.798513029999999
1998 Feb,5918260.76,5.91826076
1998 Mar,6534492.9799999995,6.53449298
1998 Apr,6675735.61,6.67573561
1998 May,7064200.58,7.0642005800000005
1998 Jun,7383381.18,7.38338118
1998 Jul,7813495.87,7.81349587
1998 Aug,7431892.21,7.43189221
1998 Sep,8275117.22,8.27511722
1998 Oct,8260441.38,8.26044138
1998 Nov,8596155.75,8.59615575
1998 Dec,10558939.02,10.55893902
1999 Jan,10391415.6,10.3914156
1999 Feb,6421534.5600000005,6.4215345600000004
1999 Mar,8062619.37,8.06261937
1999 Apr,7297739.100000001,7.2977391
1999 May,7936915.94,7.9369159400000004
1999 Jun,8165322.9799999995,8.16532298
1999 Jul,8717420.459999999,8.71742046
1999 Aug,9070963.78,9.07096378
1999 Sep,9177113.370000001,9.17711337
1999 Oct,9251886.739999998,9.251886739999998
1999 Nov,9933136.43,9.93313643
1999 Dec,11532974.28,11.53297428
2000 Jan,12511462.350000001,12.511462350000002
2000 Feb,7457198.53,7.45719853
2000 Mar,8591190.84,8.59119084
2000 Apr,8474000.37,8.474000369999999
2000 May,9386802.6,9.3868026
2000 Jun,9560399.45,9.560399449999998
2000 Jul,10834294.8,10.8342948
2000 Aug,10643750.83,10.64375083
2000 Sep,9908161.86,9.90816186
2000 Oct,11710041.3,11.7100413
2000 Nov,11340150.74,11.34015074
2000 Dec,12079131.84,12.07913184
2001 Jan,14497581.09,14.49758109
2001 Feb,8049274.77,8.04927477
2001 Mar,10312891.16,10.31289116
2001 Apr,9753358.209999999,9.753358209999998
2001 May,10850381.83,10.85038183
2001 Jun,9961719.16,9.96171916
2001 Jul,11443601.44,11.44360144
2001 Aug,11659238.889999999,11.65923889
2001 Sep,10647059.79,10.647059789999998
2001 Oct,12652134.44,12.65213444
2001 Nov,13674466.31,13.67446631
2001 Dec,12965735.09,12.965735089999999
2002 Jan,16300269.27,16.30026927
2002 Feb,9053485.36,9.05348536
2002 Mar,10002448.79,10.002448789999999
2002 Apr,10788750.07,10.78875007
2002 May,12106705.15,12.10670515
2002 Jun,10954101.07,10.95410107
2002 Jul,12844565.87,12.844565869999998
2002 Aug,12196499.85,12.19649985
2002 Sep,12854747.87,12.854747869999999
2002 Oct,13542004.36,13.54200436
2002 Nov,13287640,13.28764
2002 Dec,15134917.84,15.13491784
2003 Jan,16828349.68,16.82834968
2003 Feb,9800214.61,9.80021461
2003 Mar,10816993.709999999,10.816993709999998
2003 Apr,10654222.559999999,10.65422256
2003 May,12512322.69,12.51232269
2003 Jun,12161209.69,12.16120969
2003 Jul,12998046.2,12.9980462
2003 Aug,12517275.68,12.51727568
2003 Sep,13268657.610000001,13.268657610000002
2003 Oct,14733621.69,14.73362169
2003 Nov,13669381.74,13.66938174
2003 Dec,16503965.61,16.503965609999998
2004 Jan,18003767.95,18.00376795
2004 Feb,11938029.87,11.93802987
2004 Mar,12997900.1,12.997900099999999
2004 Apr,12882645.07,12.88264507
2004 May,13943446.81,13.943446810000001
2004 Jun,13989472.2,13.9894722
2004 Jul,15339097.419999998,15.339097419999998
2004 Aug,15370763.94,15.37076394
2004 Sep,16142005,16.142005
2004 Oct,16685754,16.685754
2004 Nov,17636728,17.636728
2004 Dec,18869325,18.869325
2005 Jan,20778723,20.778723
2005 Feb,12154552,12.154552
2005 Mar,13402392,13.402392
2005 Apr,14459239,14.459239
2005 May,14795102,14.795102
2005 Jun,15705248,15.705248
2005 Jul,15829550,15.82955
2005 Aug,17554701,17.554701
2005 Sep,18100864,18.100864
2005 Oct,17496668,17.496668
2005 Nov,19347265,19.347265
2005 Dec,20031291,20.031291
2006 Jan,23486694,23.486694
2006 Feb,12536987,12.536987
2006 Mar,15467018,15.467018
2006 Apr,14233539,14.233539
2006 May,17783058,17.783058
2006 Jun,16291602,16.291602
2006 Jul,16980282,16.980282
2006 Aug,18612189,18.612189
2006 Sep,16623343,16.623343
2006 Oct,21430241,21.430241
2006 Nov,23575517,23.575517
2006 Dec,23334206,23.334206
2007 Jan,28038383,28.038383
2007 Feb,16763869,16.763869
2007 Mar,19792754,19.792754
2007 Apr,16427305,16.427305
2007 May,21000742,21.000742
2007 Jun,20681002,20.681002
2007 Jul,21834890,21.83489
2007 Aug,23930203.529999997,23.930203529999996
2007 Sep,22930356.939999998,22.93035694
2007 Oct,23263339.919999998,23.263339919999996
2007 Nov,25250030.22,25.25003022
2007 Dec,25806090,25.80609
2008 Jan,29665356,29.665356
2008 Feb,21654285,21.654285
2008 Mar,18264945,18.264945
2008 Apr,23107677,23.107677
2008 May,22912510,22.91251
2008 Jun,19431740,19.43174
